timestamp,aruco_id
1728419837.9355588,[5]
1728419837.9584477,[5]
1728419837.982277,[5]
1728419838.0072937,[5]
1728419838.030122,[5]
1728419838.05148,[5]
1728419838.0794353,[5]
1728419838.104316,[5]
1728419838.125718,[5]
1728419838.1470857,[5]
1728419838.1683784,[5]
1728419838.1871798,[5]
1728419838.207528,[5]
1728419838.2324693,[5]
1728419838.255321,[5]
1728419838.2822394,[5]
1728419838.3102584,[5]
1728419838.3306153,[5]
1728419838.3494346,[5]
1728419838.3666916,[5]
1728419838.3849325,[5]
1728419838.4011292,[5]
1728419838.416887,[5]
1728419838.4321547,[5]
1728419838.4474516,[5]
1728419838.4622045,[4 5]
1728419838.4785228,[4 5]
1728419838.492779,[ 4 11  5]
1728419838.5085342,[ 4 11  5]
1728419838.5263164,[ 4 11  5]
1728419838.5426233,[ 4 11  5]
1728419838.5624526,[ 4 11  5]
1728419838.5796697,[ 4 11  5]
1728419838.6015122,[ 4 11  5]
1728419838.623324,[ 4 11  5]
1728419838.6472042,[ 4 11  5]
1728419838.6715653,[ 4 11  5]
1728419838.6964562,[ 4 11  5]
1728419838.7173102,[ 4 11  5]
1728419838.7371004,[ 4 11  5]
1728419838.7594295,[ 4 11  5]
1728419838.7792566,[ 4 11  5]
1728419838.7995436,[ 4 11  5]
1728419838.8213549,[ 4 11  5]
1728419838.8432705,[ 4 11  5]
1728419838.8651004,[ 4 11  5]
1728419838.8864517,[ 4 11  5]
1728419838.908288,[ 4 11  5]
1728419838.9342053,[ 4 11  5]
1728419838.9565794,[ 4 11  5]
1728419838.9794729,[ 4 11  5]
1728419839.0022714,[ 4 11  5]
1728419839.0246367,[ 4 11  5]
1728419839.0454915,[ 4 11  5]
1728419839.066829,[ 4 11  5]
1728419839.0881486,[ 4 11  5]
1728419839.1075246,[ 4 11  5]
1728419839.1252563,[ 4 11  5]
1728419839.1435666,[ 4 11  5]
1728419839.163366,[ 4 11  5]
1728419839.1806288,[ 4 11  5]
1728419839.203495,[ 4 11  5]
1728419839.2242968,[ 4 11  5]
1728419839.2467034,[11  5]
1728419839.2650204,[11  5]
1728419839.2847753,[5]
1728419839.3081274,[5]
1728419839.3295035,[5]
1728419839.3503373,[5]
1728419839.3705752,[5]
1728419839.3929048,[5]
1728419839.4142952,[5]
1728419839.434615,[5]
1728419839.4543803,[5]
1728419839.4752686,[5]
1728419839.499135,[5]
1728419839.5235467,[5]
1728419839.5474336,[5]
1728419839.5723255,[5]
1728419839.598183,[5]
1728419839.6225965,[5]
1728419839.6474524,[5]
1728419839.6722863,[5]
1728419839.6966596,[5]
1728419839.718583,[5]
1728419839.743434,[5]
1728419839.7673452,[5]
1728419839.7901971,[5]
1728419839.8126204,[5]
1728419839.8344383,[5]
1728419839.8572927,[5]
1728419839.878618,[5]
1728419839.897408,[5]
1728419839.9182174,[5]
1728419839.9395857,[5]
1728419839.963436,[5]
1728419839.9933755,[5]
1728419840.0167534,[5]
1728419840.037586,[5]
1728419840.0604513,[5]
1728419840.082767,[5]
1728419840.1057057,[5]
1728419840.1306133,[5]
1728419840.156516,[5]
1728419840.1814876,[5]
1728419840.2069104,[5]
1728419840.2292655,[5]
1728419840.2516322,[5]
1728419840.2755399,[5]
1728419840.297504,[5]
1728419840.3219333,[5]
1728419840.3503292,[5]
1728419840.3752556,[5]
1728419840.3986454,[5]
1728419840.4240227,[5]
1728419840.4474115,[5]
1728419840.4733095,[5]
1728419840.4983013,[5]
1728419840.5253341,[5]
1728419840.5502868,[5]
1728419840.5752044,[5]
1728419840.597034,[5]
1728419840.621455,[5]
1728419840.644351,[5]
1728419840.669187,[5]
1728419840.692565,[5]
1728419840.7204685,[5]
1728419840.7433925,[5]
1728419840.77032,[5]
1728419840.794655,[5]
1728419840.8175652,[5]
1728419840.8403604,[5]
1728419840.8622468,[5]
1728419840.8820503,[5]
1728419840.9054642,[5]
1728419840.931329,[5]
1728419840.953708,[5]
1728419840.9775631,[5]
1728419841.0045161,[5]
1728419841.0293431,[5]
